DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
PCD25/1535,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732614&propkey=78731,,,,,"134 Old Southern Rd, WORRIGEE",,,,,
PCD25/1536,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732616&propkey=1005284,,,,,"32 Myrtle Drive, BADAGARANG",,,,,
PCD25/1537,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732618&propkey=1003906,,,,,"71 Patrina Cct, ST GEORGES BASIN",,,,,
PCD25/1538,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732620&propkey=1004278,,,,,"6 Gipsy Moth St, BADAGARANG",,,,,
PCD25/1539,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732627&propkey=1004459,,,,,"24 Sabre St, BADAGARANG",,,,,
PCD25/1540,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732638&propkey=37592,,,,,"12 Park Rd, NOWRA",,,,,
PCD25/1541,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732657&propkey=1005297,,,,,"68 Wirraway Bvd, BADAGARANG",,,,,
PCD25/1542,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732676&propkey=33622,,,,,"3 Glenhaven Av, NORTH NOWRA",,,,,
PCD25/1543,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732693&propkey=19125,,,,,"13 Woodglen Cr, MOLLYMOOK BEACH",,,,,
PCD25/1544,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=732718&propkey=16538,,,,,"11 Princes Hwy, BURRILL LAKE",,,,,
